precinct,ward,nvotes,bowser,twhite,rwhite,bowser_percent,twhite_percent,rwhite_percent,bowser_margin,twhite_margin,rwhite_margin,bowser_marginpct,twhite_marginpct,rwhite_marginpct
78,5,687,256,122,309,0.3726346433770015,0.17758369723435224,0.4497816593886463,-175,-443,-69,-0.2547307132459971,-0.6448326055312955,-0.10043668122270742
79,5,379,144,84,151,0.37994722955145116,0.22163588390501318,0.39841688654353563,-91,-211,-77,-0.24010554089709762,-0.5567282321899736,-0.20316622691292877
80,7,2334,976,324,1034,0.4181662382176521,0.13881748071979436,0.44301628106255353,-382,-1686,-266,-0.1636675235646958,-0.7223650385604113,-0.11396743787489289
81,6,872,382,50,440,0.4380733944954128,0.05733944954128441,0.5045871559633027,-108,-772,8,-0.12385321100917432,-0.8853211009174312,0.009174311926605505
82,6,982,427,59,496,0.434826883910387,0.06008146639511202,0.505091649694501,-128,-864,10,-0.13034623217922606,-0.879837067209776,0.010183299389002037
83,6,1227,510,61,656,0.4156479217603912,0.04971475142624287,0.534637326813366,-207,-1105,85,-0.1687041564792176,-0.9005704971475142,0.06927465362673187
84,6,838,455,17,366,0.5429594272076372,0.02028639618138425,0.43675417661097854,72,-804,-106,0.08591885441527446,-0.9594272076372315,-0.12649164677804295
85,6,1127,622,20,485,0.551907719609583,0.01774622892635315,0.4303460514640639,117,-1087,-157,0.10381543921916593,-0.9645075421472937,-0.13930789707187222
86,6,631,323,9,299,0.5118858954041204,0.014263074484944533,0.47385103011093505,15,-613,-33,0.02377179080824089,-0.971473851030111,-0.05229793977812995
87,6,129,69,9,51,0.5348837209302325,0.06976744186046512,0.3953488372093023,9,-111,-27,0.06976744186046512,-0.8604651162790697,-0.20930232558139536
88,6,965,507,19,439,0.5253886010362694,0.019689119170984457,0.45492227979274613,49,-927,-87,0.05077720207253886,-0.960621761658031,-0.09015544041450778
89,6,1212,677,14,521,0.5585808580858086,0.01155115511551155,0.4298679867986799,142,-1184,-170,0.11716171617161716,-0.976897689768977,-0.14026402640264027
90,6,606,349,11,246,0.5759075907590759,0.018151815181518153,0.40594059405940597,92,-584,-114,0.15181518151815182,-0.9636963696369637,-0.18811881188118812
91,6,1478,669,98,711,0.45263870094722597,0.06630581867388363,0.4810554803788904,-140,-1282,-56,-0.09472259810554803,-0.8673883626522327,-0.037889039242219216
92,7,293,107,94,92,0.3651877133105802,0.32081911262798635,0.31399317406143346,-79,-105,-109,-0.2696245733788396,-0.3583617747440273,-0.3720136518771331
93,7,398,191,93,114,0.4798994974874372,0.23366834170854273,0.2864321608040201,-16,-212,-170,-0.04020100502512563,-0.5326633165829145,-0.4271356783919598
94,7,507,213,115,179,0.42011834319526625,0.22682445759368836,0.3530571992110454,-81,-277,-149,-0.15976331360946747,-0.5463510848126233,-0.2938856015779093
95,7,340,135,79,126,0.39705882352941174,0.2323529411764706,0.37058823529411766,-70,-182,-88,-0.20588235294117646,-0.5352941176470588,-0.25882352941176473
